route_name,route_link,bus_name,bus_type,departing_time,duration,reaching_time,star_rating,price,seat_availability
Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 35188,AC Sleeper,00:40,06h 05m,06:45,4.6,737.0,33
Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 3563,Non-AC Semi-Sleeper,01:00,06h 15m,07:15,3.6,448.0,32
Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 35266,AC Sleeper,01:25,06h 05m,07:30,3.3,737.0,42
Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 3590,Non-AC Semi-Sleeper,01:45,06h 15m,08:00,3.5,448.0,34
Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 3058,AC Sleeper,02:10,06h 05m,08:15,3.6,737.0,31
Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 3548,Non-AC Semi-Sleeper,03:00,06h 20m,09:20,4.1,448.0,28
Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 35197,AC Semi-Sleeper,03:10,05h 50m,09:00,4.3,633.0,22
Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 35190,AC Semi-Sleeper,04:10,05h 55m,10:05,4.3,670.0,26
Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 4726,AC Seater,04:30,05h 45m,10:15,3.1,528.0,37
Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 3540,Non-AC Semi-Sleeper,04:45,07h 20m,12:05,3.6,448.0,33
Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 35136,AC Seater,04:45,06h 15m,11:00,3.8,538.0,11
Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 3586,AC Semi-Sleeper,05:10,05h 50m,11:00,4.2,683.0,24
Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 35196,Non-AC Semi-Sleeper,05:50,07h 00m,12:50,3.9,448.0,24
Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 35062,Non-AC Semi-Sleeper,05:55,07h 15m,13:10,3.9,444.0,29
